simplified,traditional,pinyin,meaning,frequency,hsk_level,pos,radical
背心,背心,bèi xīn,"sleeveless garment (vest, waistcoat, singlet, tank top etc)",10100,6,n,⺼
背着,背著,bèi zhe | bēi zhe,carrying on one's back ; keeping (one's hands) behind one's back ; keeping sth secret from (sb) ; turning one's back to (sth or sb),9984,6,v,⺼
倍,倍,bèi,"(two, three etc) -fold ; double ; times (multiplier) ; to increase or multiply",1396,4,"q,d",亻
被,被,bèi,"(literary) to suffer (a misfortune) ; (since c. 2009) (sarcastic or jocular) used to indicate that the following word should be regarded as being in air quotes (as in 被旅游 to ""go on a trip"", for example) ; quilt ; to cover (with) ; used to indicate passive voice (placed before the doer of the action like ""by"" in English passive-voice sentences, or, if the doer is not mentioned, before the verb)",54,3,"p,g,d",衤
被捕,被捕,bèi bǔ,to be arrested ; under arrest,6219,7,"v,vn",衤
被动,被動,bèi dòng,passive,9120,5,"a,ad",衤
被告,被告,bèi gào,defendant,3643,6,n,衤
被迫,被迫,bèi pò,to be compelled ; to be forced,4859,4,d,衤
被子,被子,bèi zi,quilt,8179,3,n,衤
辈,輩,bèi,(literary) classifier for people ; class ; classifier for generations ; generation ; group of people ; lifetime,10523,5,"n,q",非
奔,奔 | 犇 | 逩,bèn | bēn,Taiwan pr. [bēn] ; to elope ; to go to ; to head for ; to hurry ; to run quickly ; to rush ; towards ; variant of 奔,5778,7,v,大
奔波,奔波,bēn bō,to be constantly on the move ; to rush about,12069,7,v,大
奔赴,奔赴,bēn fù,to hurry to ; to rush to,21998,7,v,大
奔跑,奔跑,bēn pǎo,to run,9573,6,"v,vn",大
本,本,běn,"classifier for books, periodicals, files etc ; inherent ; origin ; original ; originally ; root ; source ; stem ; the current ; this",222,1,"r,q,d,n",木
本地,本地,běn dì,local ; this locality,3477,6,r,木
本分,本分,běn fèn,(to play) one's part ; (to stay within) one's bounds ; dutiful ; keeping to one's role ; one's duty ; one's role,23007,7,"n,a",木
本科,本科,běn kē,undergraduate (attributive) ; undergraduate course,16998,4,n,木
本来,本來,běn lái,at first ; it goes without saying ; of course ; original ; originally,1093,3,"d,b",木
本领,本領,běn lǐng,ability ; capability ; skill,10811,3,n,木
本能,本能,běn néng,instinct,7537,7,"n,d",木
本期,本期,běn qī,the current period ; this term (usually in finance),20997,6,r,木
本钱,本錢,běn qián,(fig.) asset; advantage; the means (to do sth) ; capital,18266,7,n,木
本人,本人,běn rén,I; me; myself ; oneself; yourself; himself; herself; the person concerned,2656,5,r,木
本色,本色,běn shǎi | běn sè,distinctive character ; inherent qualities ; natural color ; natural qualities ; true qualities,10431,7,n,木
本身,本身,běn shēn,in itself ; itself ; per se,2405,6,r,木
本事,本事,běn shi | běn shì,ability ; original story ; skill ; source material,5333,3,n,木
本土,本土,běn tǔ,local ; metropolitan territory ; native ; one's native country,7660,6,n,木
本性,本性,běn xìng,inherent quality ; natural instincts ; nature,8657,7,n,木
本意,本意,běn yì,etymon ; original idea ; real intention,13124,7,n,木
本着,本著,běn zhe,based on... ; in conformance with.. ; taking as one's main principle,19101,7,p,木
本质,本質,běn zhì,essence ; innate character ; intrinsic quality ; nature,5084,6,n,木
本子,本子,běn zi,"Japanese-style self-published comic (esp. an erotic one), aka ""dōjinshi"" ; book ; edition ; notebook",12849,1,n,木
笨,笨,bèn,clumsy ; foolish ; silly ; slow-witted ; stupid,3806,4,"a,an",⺮
笨蛋,笨蛋,bèn dàn,fool ; idiot,5816,7,n,⺮
笨重,笨重,bèn zhòng,cumbersome ; heavy ; unwieldy,25279,7,a,⺮
崩溃,崩潰,bēng kuì,to collapse; to crumble; to fall apart,4192,7,"v,vn",山
绷,綳 | 繃,bēng | běng,embroidery hoop ; to draw tight ; to have a taut face ; to stretch taut ; to tack (with thread or pin) ; variant of 绷 ; woven bed mat,11156,7,v,纟
绷带,繃帶,bēng dài,bandage (loanword),16542,7,n,纟
蹦,蹦,bèng,to bounce ; to hop ; to jump,7023,7,v,足
逼,偪 | 逼,bī,euphemistic variant of 屄 ; to close in on ; to compel ; to extort ; to force (sb to do sth) ; to press for ; to press on towards ; to press up to ; to pressure ; variant of 逼,1122,6,v,辶
逼近,逼近,bī jìn,to approach ; to close in on ; to draw near ; to press on towards,12487,7,v,辶
逼迫,逼迫,bī pò,to coerce ; to compel ; to force,13026,7,"v,vn",辶
逼真,逼真,bī zhēn,clearly ; distinctly ; lifelike ; true to life,13735,7,a,辶
鼻涕,鼻涕,bí tì,nasal mucus; snivel; snot,12144,7,n,鼻
鼻子,鼻子,bí zi,nose,3484,5,n,鼻
比,比,Bǐ | bī | bǐ,(Taiwan pr. [bì] in some compounds derived from Classical Chinese) ; (followed by a noun and adjective) more {adj.} than {noun} ; Belgian ; Belgium ; abbr. for 比利时 ; euphemistic variant of 屄 ; ratio ; to compare ; to gesture,155,1,"p,v,n,b",比
比比皆是,比比皆是,bǐ bǐ jiē shì,can be found everywhere,29754,7,v,比
比不上,比不上,bǐ bù shàng,can't compare with,11223,7,v,比
比方,比方,bǐ fang,analogy ; for instance ; instance,11193,5,"v,n,c",比
比分,比分,bǐ fēn,score,4795,4,n,比
比较,比較,bǐ jiào,comparatively ; comparison ; quite ; relatively ; to compare ; to contrast,607,3,"d,vn,v",比
比例,比例,bǐ lì,proportion ; scale,4723,3,n,比
比起,比起,bǐ qǐ,compared with,13998,7,v,比
比如,比如,bǐ rú,for example ; for instance ; such as,1051,2,v,比
比如说,比如說,bǐ rú shuō,for example,2785,2,v,比
比赛,比賽,bǐ sài,competition (sports etc) ; match ; to compete,275,3,"vn,v",比
比试,比試,bǐ shì,to have a competition ; to make a gesture of measuring ; to measure with one's hand or arm,22158,7,v,比
比喻,比喻,bǐ yù,analogy ; figuratively ; figure of speech ; metaphor ; to compare ; to liken to,8644,7,"n,v",比
比重,比重,bǐ zhòng,proportion ; specific gravity,20691,5,n,比
彼此,彼此,bǐ cǐ,each other; one another,2165,5,r,彳
笔,筆,bǐ,"classifier for sums of money, deals ; pen ; pencil ; the strokes of Chinese characters ; to write or compose ; writing brush",1245,2,"q,n",⺮
笔记,筆記,bǐ jì,a type of literature consisting mainly of short sketches ; notes ; to take down (in writing),7920,2,n,⺮
笔记本,筆記本,bǐ jì běn,notebook (computing) ; notebook (stationery),3935,2,n,⺮
笔试,筆試,bǐ shì,paper test (for an applicant) ; written examination,25608,6,n,⺮
鄙视,鄙視,bǐ shì,to despise ; to disdain ; to look down upon,8470,7,"v,vn",阝
必,必,bì,certainly ; must ; necessarily ; will,2532,5,d,心
必不可少,必不可少,bì bù kě shǎo,absolutely necessary ; essential ; indispensable,15604,7,v,心
必定,必定,bì dìng,to be bound to ; to be sure to,8680,7,d,心
必将,必將,bì jiāng,inevitably,10072,6,d,心
必然,必然,bì rán,certain ; inevitable ; necessity,5199,3,"d,b,n",心
必修,必修,bì xiū,(of an academic course) required ; compulsory,39363,6,"vn,v",心
必须,必須,bì xū,compulsory ; must ; necessarily ; to have to,241,2,d,心
必需,必需,bì xū,essential ; indispensable ; to need ; to require,7251,5,"v,vn",心
必要,必要,bì yào,essential ; indispensable ; necessary ; required,1191,3,"a,an",心
毕竟,畢竟,bì jìng,after all ; all in all ; in the final analysis ; when all is said and done,2477,5,d,比
毕业,畢業,bì yè,graduation ; to finish school ; to graduate,1755,4,"v,vn",比
毕业生,畢業生,bì yè shēng,graduate,6344,4,n,比
闭,閉,bì,to close ; to obstruct ; to shut ; to stop up,2503,6,v,门
闭幕,閉幕,bì mù,lower the curtain ; the curtain falls ; to come to an end (of a meeting),26178,5,"v,vn",门
闭幕式,閉幕式,bì mù shì,closing ceremony,34114,5,n,门
弊病,弊病,bì bìng,disadvantage ; drawback ; evil ; malady ; malpractice,34995,7,n,廾
弊端,弊端,bì duān,systemic problem (sometimes refers specifically to corrupt practices),19905,7,n,廾
碧绿,碧綠,bì lǜ,dark green,33401,7,z,石
壁画,壁畫,bì huà,fresco ; mural (painting),16718,7,n,土
避,避,bì,to avoid ; to escape ; to flee ; to hide from ; to keep away from ; to leave ; to shun,6063,4,v,辶
避免,避免,bì miǎn,to avert ; to avoid ; to prevent ; to refrain from,2140,4,v,辶
避难,避難,bì nàn,refuge ; to seek asylum (political etc) ; to take refuge,17616,7,"v,vn",辶
避暑,避暑,bì shǔ,to be away for the summer holidays ; to prevent sunstroke ; to spend a holiday at a summer resort,23952,7,"vn,v",辶
边,邊,bian | biān,border ; boundary ; edge ; margin ; side ; simultaneously ; suffix of a noun of locality,803,2,"k,d,n",辶
边疆,邊疆,biān jiāng,border area ; borderland ; frontier ; frontier region,28113,7,s,辶
边界,邊界,biān jiè,border ; boundary,7042,7,n,辶
边境,邊境,biān jìng,frontier; border,5914,5,s,辶
边缘,邊緣,biān yuán,edge; fringe; verge; brink; periphery ; marginal; borderline,4635,6,"n,b",辶
边远,邊遠,biān yuǎn,far from the center ; outlying ; remote,26329,7,b,辶
编,編,biān,to arrange ; to compile ; to compose ; to edit ; to fabricate ; to group ; to make up ; to organize ; to plait ; to weave ; to write,1875,4,"v,g",纟
编号,編號,biān hào,numbering ; serial number ; to number,7219,7,"n,v",纟
编辑,編輯,biān jí,compiler ; editor ; to compile ; to edit,2447,5,"n,v,vn",纟
编剧,編劇,biān jù,dramatist ; scenario ; screenwriter ; to write a play,7362,7,"n,v",纟
编排,編排,biān pái,to arrange ; to lay out,10560,7,"v,vn",纟
编写,編寫,biān xiě,to compile,11845,7,v,纟
编造,編造,biān zào,to compile ; to concoct ; to cook up ; to draw up ; to fabricate ; to invent ; to make up,12743,7,v,纟
编制,編制 | 編製,biān zhì,"staffing structure (excluding temporary and casual staff) ; to compile ; to establish (a unit or department) ; to plait ; to put together (a lesson plan, budget etc) ; to weave",12038,6,"n,v,vn",纟
鞭策,鞭策,biān cè,to encourage sb (e.g. to make progress) ; to spur on ; to urge on,24553,7,"v,vn",革
鞭炮,鞭炮,biān pào,firecrackers ; string of small firecrackers,17033,7,n,革
贬值,貶值,biǎn zhí,to become devaluated ; to depreciate ; to devaluate,19175,7,"v,vn",贝
扁,扁,Piān | biǎn | piān,(coll.) to beat (sb) up ; flat ; old variant of 匾 ; small boat ; surname Pian,5218,6,a,户
变,變,biàn,rebellion ; to become different ; to change ; to transform ; to vary,501,2,v,又
变成,變成,biàn chéng,to become ; to change into ; to turn into,853,2,v,又
变动,變動,biàn dòng,change ; fluctuation ; to change ; to fluctuate,7124,5,"vn,v",又
变革,變革,biàn gé,to change ; to transform,9189,7,"vn,v",又
变更,變更,biàn gēng,to alter ; to change ; to modify,10372,6,"v,vn",又
变化,變化,biàn huà,(intransitive) to change; to vary ; change; variation,1262,3,"vn,v",又
变幻莫测,變幻莫測,biàn huàn mò cè,erratic ; to change unpredictably ; treacherous ; unpredictable,37275,7,"l,v",又
变换,變換,biàn huàn,a transformation ; to alternate ; to convert ; to transform ; to vary,10769,6,"v,vn",又
变迁,變遷,biàn qiān,changes ; vicissitudes,17425,7,"vn,v",又
变为,變為,biàn wéi,to change into,8495,3,v,又
变形,變形,biàn xíng,to become deformed; to change shape; to morph,6036,6,"v,vn",又
变异,變異,biàn yì,variation,8927,7,"n,v",又
变质,變質,biàn zhì,(geology) metamorphism ; (of food) to go bad; to go off ; to degenerate; to deteriorate,13083,7,"v,vn",又
便,便,biàn | pián,convenient ; equivalent to 就: then ; even if ; in that case ; informal ; opportune ; plain ; soon afterwards ; suitable ; to urinate or defecate ; used in 便 ; used in 便宜 ; used in 嬛,811,6,"d,g",亻
便道,便道,biàn dào,makeshift road ; pavement ; shortcut ; sidewalk,28502,7,n,亻
便饭,便飯,biàn fàn,an ordinary meal ; simple home cooking,51135,7,n,亻
便捷,便捷,biàn jié,convenient and fast,15719,7,a,亻
便利,便利,biàn lì,convenient ; easy ; to facilitate,5991,5,"a,an,v,vn",亻
便利店,便利店,biàn lì diàn,convenience store,1000000,7,,亻
便是,便是,biàn shì,(emphasizes that sth is precisely or exactly as stated) ; even ; exactly ; if ; in the same way as ; just like ; precisely,7899,6,v,亻
便条,便條,biàn tiáo,(informal) note,33655,5,n,亻
便宜,便宜,biàn yí | pián yi,cheap ; convenient ; inexpensive ; small advantages ; to let sb off lightly,2814,2,"a,v,an",亻
便于,便於,biàn yú,easy to; convenient for,13646,5,v,亻
遍,徧 | 遍,biàn,all over ; classifier for actions: one time ; everywhere ; variant of 遍,1358,2,"qv,v,d,a",辶
遍布,遍布,biàn bù,to be found throughout ; to cover the whole (area),10269,7,v,辶
遍地,遍地,biàn dì,all over ; everywhere,18679,6,"v,vn",辶
辨别,辨別,biàn bié,to distinguish; to differentiate; to discern; to recognize; to tell,12941,7,"v,vn",辛
辨认,辨認,biàn rèn,to identify ; to recognize,10922,7,"v,vn",辛
辩,辯,biàn,to argue ; to debate ; to discuss ; to dispute,7226,7,g,辛
辩护,辯護,biàn hù,to argue in favor of ; to defend ; to plead ; to speak in defense of,5728,7,"v,vn",辛
辩解,辯解,biàn jiě,to defend (a point of view etc) ; to explain ; to justify ; to provide an explanation ; to try to defend oneself,11543,7,"v,vn",辛
辩论,辯論,biàn lùn,argument ; debate ; to argue over,7547,4,"vn,v",辛
辫子,辮子,biàn zi,a mistake or shortcoming that may be exploited by an opponent ; braid ; handle ; pigtail ; plait,16801,7,n,辛
标,標,biāo,"(old) the topmost branches of a tree ; award ; bid ; classifier for military units ; label ; mark ; prize ; quota ; sign ; target ; to bear (a brand name, registration number etc) ; to mark with a symbol, label, lettering etc ; visible symptom",3748,7,"v,g,n,q",木
标榜,標榜,biāo bǎng,boost ; excessive praise ; to advertise ; to flaunt ; to parade,24532,7,v,木
标本,標本,biāo běn,specimen; sample ; the root cause and symptoms of a disease,9844,7,n,木
标签,標籤,biāo qiān,(computing) tab (GUI element) ; label ; tag,6258,7,n,木
标示,標示,biāo shì,to indicate,18067,7,"v,vn",木
标题,標題,biāo tí,caption ; heading ; headline ; subject ; title,8578,3,n,木
标语,標語,biāo yǔ,placard ; written slogan,10321,7,n,木
标志,標誌,biāo zhì,logo ; mark ; sign ; symbol ; to indicate ; to mark ; to symbolize,2653,4,"n,v",木
标致,標致,Biāo zhì | biāo zhi,Peugeot ; beautiful (of woman) ; pretty,19135,7,"a,nz",木
标准,標準,biāo zhǔn,(adjective) standard ; good; correct; conforming to a standard ; standard; norm; criterion,1317,3,"n,a",木
飙升,飆升,biāo shēng,to rise rapidly ; to soar,21633,7,"v,vn",风
表,表 | 錶,biǎo,a form ; a meter (measuring sth) ; a model ; a table (listing information) ; exterior surface ; family relationship via females ; meter; gauge ; to show (one's opinion) ; watch (timepiece),1344,2,"n,g",衣
表白,表白,biǎo bái,confession ; declaration ; to explain oneself ; to express ; to reveal one's thoughts or feelings,10481,7,v,衣
表达,表達,biǎo dá,to express; to convey,1660,3,"v,vn",衣
表格,表格,biǎo gé,form ; table,8961,3,n,衣
表决,表決,biǎo jué,to decide by vote ; to vote,7667,7,"v,vn",衣
表率,表率,biǎo shuài,example ; model,25988,7,n,衣
表面,表面,biǎo miàn,appearance ; face ; outside ; surface,2771,3,n,衣
表面上,表面上,biǎo miàn shang,outwardly; superficially; on the face of it,1000000,6,,衣
表明,表明,biǎo míng,known ; to indicate ; to make clear ; to make known ; to state clearly,1735,3,v,衣
表情,表情,biǎo qíng,(facial) expression ; to express one's feelings,1882,4,n,衣
表述,表述,biǎo shù,enunciation ; to explain sth precisely ; to formulate,14483,7,"vn,v",衣
表态,表態,biǎo tài,to declare one's position ; to say where one stands,8599,7,"v,vn",衣
表现,表現,biǎo xiàn,behavior ; display ; expression ; manifestation ; performance (at work etc) ; show ; to display ; to manifest ; to show ; to show off,452,3,"v,vn",衣
表演,表演,biǎo yǎn,exhibition ; performance ; play ; show ; to act ; to demonstrate ; to perform,1127,3,"vn,v",衣
表扬,表揚,biǎo yáng,to commend ; to praise,9042,4,"v,vn",衣
表彰,表彰,biǎo zhāng,to cite (in dispatches) ; to commend ; to honor,11646,7,"v,vn",衣
憋,憋,biē,to choke ; to hold (one's breath) ; to hold back ; to hold in (urine) ; to restrain ; to stifle,6662,7,v,心
别,別 | 彆,Bié | biè | bié,"(bound form) other; another; different ; (literary) to differentiate; to distinguish ; (noun suffix) category (e.g. 性别, 派别) ; don't ...! ; surname Bie ; to fasten with a pin or clip ; to leave; to part (from) ; to make sb change their ways, opinions etc ; to stick in; to insert (in order to hinder movement)",214,1,"d,v,r,vn",刂
别的,別的,bié de,else ; other,543,1,r,刂
别具匠心,別具匠心,bié jù jiàng xīn,(of a design) clever ; brilliantly conceived ; to show ingenuity,67237,7,,刂
别看,別看,bié kàn,don't be fooled by the fact that,12369,7,,刂
别扭,彆扭,biè niu,at loggerheads ; awkward ; difficult ; gauche ; not agreeing ; uncomfortable,8970,7,"a,an",刂
别人,別人,bié ren,other people; others; other person,397,1,r,刂
别墅,別墅,bié shù,villa,4646,7,n,刂
别说,別說,bié shuō,to say nothing of; not to mention; let alone,6983,7,,刂
别提了,別提了,bié tí le,don't bring it up ; drop the subject ; say no more,1000000,7,,刂
别致,別緻 | 別致,bié zhì,unusual; unique ; variant of 别致,16822,7,a,刂
宾馆,賓館,bīn guǎn,guesthouse ; hotel ; lodge,4994,5,n,宀
彬彬有礼,彬彬有禮,bīn bīn yǒu lǐ,refined and courteous ; urbane,29487,7,l,彡
滨海,濱海,Bīn hǎi | bīn hǎi,"Binhai (place name) ; Binhai New District, subprovincial district of Tianjin ; Binhai county in Yancheng 盐城, Jiangsu ; Primorsky, a territory in the far east of Russia ; bordering the sea ; coastal ; fictitious city Binhai in political satire",22018,7,n,氵
