simplified,traditional,pinyin,zhuyin,meaning,hsk_level,pos,frequency_hsk,frequency_rank_hsk,hsk_level_main,frequency_subtlex,per_million,log_frequency,context_diversity,context_diversity_pct,log_context_diversity,frequency_rank_subtlex,in_subtlex
住,住,zhù,ㄓㄨˋ,"to live; to dwell; to stay; to reside; to stop; (suffix indicating firmness, steadiness, or coming to a halt)",1,动,5674865,326,1,19602.0,584.32,4.2923,5175.0,82.89,3.7139,209.0,True
学习,學習,xuéxí,ㄒㄩㄝˊ ㄒㄧˊ,to learn; to study,1,动,5570557,335,1,2385.0,71.1,3.3775,1377.0,22.06,3.1389,1142.0,True
件,件,jiàn,ㄐㄧㄢˋ,"item; component; classifier for events, things, clothes etc",1,量,5517461,348,1,19568.0,583.31,4.2915,5259.0,84.24,3.7209,210.0,True
朋友,朋友,péngyou,ㄆㄥˊ ㄧㄡ˙,"friend; CL:個|个[ge4],位[wei4]",1,名,5331707,367,1,26017.0,775.55,4.4153,5439.0,87.12,3.7355,166.0,True
去年,去年,qùnián,ㄑㄩˋ ㄋㄧㄢˊ,last year,1,名,5301941,370,1,1897.0,56.55,3.2781,1292.0,20.7,3.1113,1341.0,True
那个,那個,nàge,ㄋㄚˋ ㄍㄜ˙,"that one; that thing; that (as opposed to this); (used before a verb or adjective for emphasis); (used to humorously or indirectly refer to sth embarrassing, funny etc, or when one can't think of the right word); (used in speech as a filler, similar to 'umm', 'you know' etc); (euph.) menstruation; sex; also pr. [nei4 ge5]",1,代,5296183,371,1,41417.0,1234.61,4.6172,6022.0,96.46,3.7797,108.0,True
有些,有些,yǒuxiē,ㄧㄡˇ ㄒㄧㄝ,some; somewhat,1（3）,代、（副）,5287025,372,1,8889.0,264.98,3.9489,4003.0,64.12,3.6024,385.0,True
昨天,昨天,zuótiān,ㄗㄨㄛˊ ㄊㄧㄢ,yesterday,1,名,5187383,381,1,4483.0,133.64,3.6516,2527.0,40.48,3.4026,692.0,True
学校,學校,xuéxiào,ㄒㄩㄝˊ ㄒㄧㄠˋ,school; CL:所[suo3],1,名,5160143,385,1,7502.0,223.63,3.8752,2435.0,39.0,3.3865,444.0,True
写,寫,xiě,ㄒㄧㄝˇ,to write; used in 寫意|写意[xie4 yi4],1,动,4943588,405,1,13589.0,405.08,4.1332,3955.0,63.35,3.5971,269.0,True
少,少,shǎo,ㄕㄠˇ,few; less; to lack; to be missing; to stop (doing sth); seldom; young,1,形、动,4710056,426,1,5325.0,158.73,3.7263,3116.0,49.91,3.4936,607.0,True
国,國,guó,ㄍㄨㄛˊ,surname Guo; country; nation; state; (bound form) national,1,名,4684995,429,1,904.0,26.95,2.9562,507.0,8.12,2.705,1989.0,True
小时,小時,xiǎoshí,ㄒㄧㄠˇ ㄕˊ,hour; CL:個|个[ge4],1,名,4629165,441,1,11709.0,349.04,4.0685,4313.0,69.09,3.6348,301.0,True
您,您,nín,ㄋㄧㄣˊ,"you (courteous, as opposed to informal 你[ni3])",1,代,4560428,448,1,17279.0,515.08,4.2375,3172.0,50.81,3.5013,230.0,True
那些,那些,nàxiē,ㄋㄚˋ ㄒㄧㄝ,those,1,代,4520517,454,1,26450.0,788.46,4.4224,5594.0,89.6,3.7477,161.0,True
电话,電話,diànhuà,ㄉㄧㄢˋ ㄏㄨㄚˋ,telephone; CL:部[bu4]; phone call; CL:通[tong1]; phone number,1,名,4470310,460,1,18374.0,547.72,4.2642,4444.0,71.18,3.6478,219.0,True
睡,睡,shuì,ㄕㄨㄟˋ,to sleep; to lie down,1,动,4464165,463,1,8031.0,239.4,3.9048,3200.0,51.26,3.5051,422.0,True
学,學,xué,ㄒㄩㄝˊ,to learn; to study; to imitate; science; -ology,1,动,4458826,465,1,6209.0,185.09,3.793,3023.0,48.42,3.4804,540.0,True
口,口,kǒu,ㄎㄡˇ,"mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc); classifier for bites or mouthfuls",1,名、量,4395540,476,1,4127.0,123.02,3.6156,2431.0,38.94,3.3858,741.0,True
下午,下午,xiàwǔ,ㄒㄧㄚˋ ㄨˇ,afternoon; CL:個|个[ge4]; p.m.,1,名,4251438,496,1,2928.0,87.28,3.4666,1826.0,29.25,3.2615,982.0,True
玩,翫,wán,ㄨㄢˊ,to play; to have fun; to trifle with; toy; sth used for amusement; curio or antique (Taiwan pr. [wan4]); to keep sth for entertainment; variant of 玩[wan2]; Taiwan pr. [wan4],1,动,4207147,502,1,13033.0,388.51,4.115,4171.0,66.81,3.6202,282.0,True
明天,明天,míngtiān,ㄇㄧㄥˊ ㄊㄧㄢ,tomorrow,1,名,3889610,538,1,10108.0,301.31,4.0047,3900.0,62.47,3.5911,349.0,True
穿,穿,chuān,ㄔㄨㄢ,to wear; to put on; to dress; to bore through; to pierce; to perforate; to penetrate; to pass through; to thread,1,动,3884646,542,1,13586.0,404.99,4.1331,4351.0,69.69,3.6386,270.0,True
喝,喝,hē,ㄏㄜ,to drink; variant of 嗬[he1]; to shout,1,动,3881270,544,1,14004.0,417.45,4.1463,4206.0,67.37,3.6239,264.0,True
块,塊,kuài,ㄎㄨㄞˋ,"lump; chunk; piece; classifier for pieces of cloth, cake, soap etc; (coll.) classifier for money and currency units",1,量,3871951,546,1,9365.0,279.16,3.9715,3358.0,53.79,3.5261,369.0,True
早,早,zǎo,ㄗㄠˇ,early; morning; Good morning!; long ago; prematurely,1,形,3857863,550,1,12185.0,363.23,4.0858,4580.0,73.36,3.6609,292.0,True
男,男,nán,ㄋㄢˊ,"(bound form) male; baron, the lowest of the five ranks of nobility 五等爵位[wu3 deng3 jue2 wei4]",1,形,3847599,551,1,5775.0,172.15,3.7616,2626.0,42.06,3.4193,568.0,True
医院,醫院,yīyuàn,ㄧ ㄩㄢˋ,"hospital; CL:所[suo3],家[jia1],座[zuo4]",1,名,3813656,556,1,5391.0,160.7,3.7317,1994.0,31.94,3.2997,603.0,True
分钟,分鐘,fēnzhōng,ㄈㄣ ㄓㄨㄥ,minute,1,量,3812320,557,1,11029.0,328.77,4.0425,4009.0,64.22,3.603,323.0,True
坐,坐,zuò,ㄗㄨㄛˋ,"surname Zuo; to sit; to take a seat; to take (a bus, airplane etc); to bear fruit; variant of 座[zuo4]",1,动,3800762,560,1,14204.0,423.41,4.1524,4706.0,75.38,3.6727,261.0,True
电影,電影,diànyǐng,ㄉㄧㄢˋ ㄧㄥˇ,"movie; film; CL:部[bu4],片[pian4],場|场[chang3]",1,名,3689714,582,1,7249.0,216.09,3.8603,2297.0,36.79,3.3612,455.0,True
晚上,晚上,wǎnshang,ㄨㄢˇ ㄕㄤ˙,evening; night; CL:個|个[ge4]; in the evening,1,名,3682819,585,1,9574.0,285.39,3.9811,3763.0,60.28,3.5755,365.0,True
书,書,shū,ㄕㄨ,"abbr. for 書經|书经[Shu1 jing1]; book; letter; document; CL:本[ben3],冊|册[ce4],部[bu4]; to write",1,名,3571022,600,1,7152.0,213.2,3.8544,2284.0,36.58,3.3587,461.0,True
认识,認識,rènshi,ㄖㄣˋ ㄕ˙,to know; to recognize; to be familiar with; to get acquainted with sb; knowledge; understanding; awareness; cognition,1,动,3502311,610,1,14304.0,426.39,4.1555,4544.0,72.79,3.6574,260.0,True
晚,晚,wǎn,ㄨㄢˇ,evening; night; late,1,形,3391123,628,1,7970.0,237.58,3.9015,3725.0,59.67,3.5711,426.0,True
字,字,zì,ㄗˋ,letter; symbol; character; word; CL:個|个[ge4]; courtesy or style name traditionally given to males aged 20 in dynastic China,1,名,3389991,629,1,2572.0,76.67,3.4103,1612.0,25.82,3.2074,1077.0,True
边,邊,biān,ㄅㄧㄢ,side; edge; margin; border; boundary; CL:個|个[ge4]; simultaneously; suffix of a noun of locality,1,名、后缀,3385425,632,1,3385.0,100.9,3.5296,2053.0,32.88,3.3124,880.0,True
多少,多少,duōshao,ㄉㄨㄛ ㄕㄠˇ,"number; amount; somewhat; how much?; how many?; (phone number, student ID etc) what number?",1,代,3379566,633,1,9965.0,297.05,3.9985,4135.0,66.23,3.6165,357.0,True
店,店,diàn,ㄉㄧㄢˋ,inn; old-style hotel (CL:家[jia1]); (bound form) shop; store,1,名,3193100,666,1,4293.0,127.97,3.6328,1852.0,29.67,3.2676,718.0,True
卖,賣,mài,ㄇㄞˋ,to sell; to betray; to spare no effort; to show off or flaunt,1,动,3193070,667,1,7475.0,222.82,3.8736,2872.0,46.0,3.4582,445.0,True
有的,有的,yǒude,ㄧㄡˇ ㄉㄜ˙,(there are) some (who are...); some (exist),1,代,3183017,668,1,1398.0,41.67,3.1455,1065.0,17.06,3.0273,1616.0,True
老师,老師,lǎoshī,ㄌㄠˇ ㄕ,"teacher; CL:個|个[ge4],位[wei4]",1,名,2997668,721,1,3879.0,115.63,3.5887,1170.0,18.74,3.0682,782.0,True
们,們,men,ㄇㄣ˙,"plural marker for pronouns, and nouns referring to individuals",1,后缀,2962827,727,1,39958.0,1191.12,4.6016,5590.0,89.54,3.7474,110.0,True
冷,冷,lěng,ㄌㄥˇ,surname Leng; cold,1,形,2914595,743,1,2343.0,69.84,3.3698,1393.0,22.31,3.144,1154.0,True
病,病,bìng,ㄅㄧㄥˋ,illness; CL:場|场[chang2]; disease; to fall ill; defect,1,名、动,2893603,747,1,3793.0,113.07,3.579,1795.0,28.75,3.2541,800.0,True
上午,上午,shàngwǔ,ㄕㄤˋ ㄨˇ,morning; CL:個|个[ge4],1,名,2861780,754,1,595.0,17.74,2.7745,441.0,7.06,2.6444,2281.0,True
半,半,bàn,ㄅㄢˋ,half; semi-; incomplete; (after a number) and a half,1（4）,数、（副）,2854116,758,1,5389.0,160.64,3.7315,2917.0,46.72,3.4649,604.0,True
歌,謌,gē,ㄍㄜ,"song (CL:首[shou3],支[zhi1]); (bound form) to sing; variant of 歌[ge1]",1,名,2763966,782,1,6309.0,188.07,3.8,1505.0,24.11,3.1775,530.0,True
热,熱,rè,ㄖㄜˋ,to warm up; to heat up; hot (of weather); heat; fervent,1,形,2750130,789,1,3025.0,90.17,3.4807,1712.0,27.42,3.2335,957.0,True
妈妈,媽媽,māma,ㄇㄚ ㄇㄚ˙,"mama; mommy; mother; CL:個|个[ge4],位[wei4]",1,名,2733513,798,1,25730.0,766.99,4.4104,4246.0,68.01,3.628,167.0,True
电视,電視,diànshì,ㄉㄧㄢˋ ㄕˋ,"television; TV; CL:臺|台[tai2],部[bu4]",1,名,2728539,800,1,4816.0,143.56,3.6827,2128.0,34.09,3.328,657.0,True
大学,大學,dàxué,ㄉㄚˋ ㄒㄩㄝˊ,"the Great Learning, one of the Four Books 四書|四书[Si4 shu1] in Confucianism; university; college; CL:所[suo3]",1,名,2616716,823,1,4455.0,132.8,3.6488,1834.0,29.38,3.2634,700.0,True
哪,哪,nǎ,ㄋㄚˇ,"how; which; (emphatic sentence-final particle, used instead of 啊[a5] after a word ending in 'n'); used in 哪吒[Ne2 zha1]; Taiwan pr. [nuo2]; which? (interrogative, followed by classifier or numeral-classifier)",1,代,2578497,836,1,26385.0,786.52,4.4214,5326.0,85.31,3.7264,162.0,True
电脑,電腦,diànnǎo,ㄉㄧㄢˋ ㄋㄠˇ,computer; CL:臺|台[tai2],1,名,2576740,838,1,3210.0,95.69,3.5065,1205.0,19.3,3.081,918.0,True
狗,狗,gǒu,ㄍㄡˇ,"dog; CL:隻|只[zhi1],條|条[tiao2]",1,名,2568477,845,1,11808.0,351.99,4.0722,2627.0,42.08,3.4195,298.0,True
谢谢,謝謝,xièxie,ㄒㄧㄝˋ ㄒㄧㄝ˙,to thank; thanks; thank you,1,动,2528380,858,1,51457.0,1533.9,4.7114,6006.0,96.2,3.7786,85.0,True
儿子,兒子,érzi,ㄦˊ ㄗ˙,son,1,名,2389621,908,1,11100.0,330.88,4.0453,2923.0,46.82,3.4658,320.0,True
些,些,xiē,ㄒㄧㄝ,"classifier indicating a small amount or small number greater than 1: some, a few, several",1,量,2344133,926,1,21286.0,634.52,4.3281,5399.0,86.48,3.7323,195.0,True
先生,先生,xiānsheng,ㄒㄧㄢ ㄕㄥ˙,teacher; gentleman; sir; mister (Mr.); husband; (dialect) doctor; CL:位[wei4],1,名,2248041,970,1,46864.0,1396.99,4.6708,5211.0,83.47,3.7169,93.0,True
唱,唱,chàng,ㄔㄤˋ,to sing; to call loudly; to chant,1,动,2235244,979,1,6300.0,187.8,3.7993,1430.0,22.91,3.1553,532.0,True
睡觉,睡覺,shuìjiào,ㄕㄨㄟˋ ㄐㄧㄠˋ,to go to bed; to sleep,1,动,2202995,996,1,3999.0,119.21,3.602,2233.0,35.77,3.3489,760.0,True
它们,它們,tāmen,ㄊㄚ ㄇㄣ˙,they; them,1,代,2024150,1091,1,9933.0,296.1,3.9971,3301.0,52.88,3.5186,360.0,True
哪里,哪裡,nǎlǐ,ㄋㄚˇ ㄌㄧˇ,where?; somewhere; anywhere; wherever; nowhere (negative answer to question); humble expression denying compliment; also written 哪裡|哪里; where?; somewhere; anywhere; wherever; nowhere (negative answer to question); humble expression denying compliment,1,代,2017051,1094,1,13471.0,401.56,4.1294,3959.0,63.42,3.5976,273.0,True
同学,同學,tóngxué,ㄊㄨㄥˊ ㄒㄩㄝˊ,"to study at the same school; fellow student; classmate; CL:位[wei4],個|个[ge4]",1,名,1955697,1123,1,1018.0,30.35,3.0077,626.0,10.03,2.7966,1895.0,True
她们,她們,tāmen,ㄊㄚ ㄇㄣ˙,they; them (females),1,代,1938149,1140,1,8912.0,265.66,3.95,2322.0,37.19,3.3659,384.0,True
忙,忙,máng,ㄇㄤˊ,busy; hurriedly; to hurry; to rush,1,形、动,1911546,1157,1,8342.0,248.67,3.9213,3818.0,61.16,3.5818,410.0,True
那里,那裡,nàlǐ,ㄋㄚˋ ㄌㄧ˙,there; that place; there; that place,1,代,1905367,1159,1,16783.0,500.29,4.2249,4636.0,74.26,3.6661,234.0,True
天气,天氣,tiānqì,ㄊㄧㄢ ㄑㄧˋ,weather,1,名,1855577,1182,1,1260.0,37.56,3.1004,810.0,12.97,2.9085,1708.0,True
读,讀,dú,ㄉㄨˊ,comma; phrase marked by pause; to read out; to read aloud; to read; to attend (school); to study (a subject in school); to pronounce,1,动,1849464,1185,1,4661.0,138.94,3.6685,2269.0,36.34,3.3558,675.0,True
女儿,女兒,nǚ'ér,ㄋㄩˇ ㄦˊ,daughter,1,名,1835470,1195,1,8450.0,251.89,3.9269,2639.0,42.27,3.4214,403.0,True
说话,說話,shuōhuà,ㄕㄨㄛ ㄏㄨㄚˋ,to speak; to say; to talk; to gossip; to tell stories; talk; word,1,动,1801458,1215,1,8985.0,267.84,3.9535,3987.0,63.86,3.6006,380.0,True
名字,名字,míngzi,ㄇㄧㄥˊ ㄗ˙,name (of a person or thing); CL:個|个[ge4],1,名,1765890,1237,1,14335.0,427.32,4.1564,4581.0,73.38,3.661,259.0,True
医生,醫生,yīshēng,ㄧ ㄕㄥ,"doctor; CL:個|个[ge4],位[wei4],名[ming2]",1,名,1758616,1242,1,15679.0,467.38,4.1953,3079.0,49.32,3.4884,248.0,True
猫,貓,māo,ㄇㄠ,cat (CL:隻|只[zhi1]); (dialect) to hide oneself; (loanword) (coll.) modem; used in 貓腰|猫腰[mao2 yao1],1,名,1748687,1251,1,3524.0,105.05,3.547,1226.0,19.64,3.0885,851.0,True
看见,看見,kànjiàn,ㄎㄢˋ ㄐㄧㄢˋ,to see; to catch sight of,1,动,1739832,1261,1,11442.0,341.08,4.0585,3834.0,61.41,3.5837,311.0,True
第,第,dì,ㄉㄧˋ,"(prefix indicating ordinal number, as in 第六[di4 liu4] 'sixth'); (literary) grades in which successful candidates in the imperial examinations were placed; (old) residence of a high official; (literary) but; however; (literary) only; just",1,前缀,1732367,1266,1,6842.0,203.96,3.8352,3660.0,58.63,3.5635,484.0,True
雪,雪,xuě,ㄒㄩㄝˇ,surname Xue; snow; CL:場|场[chang2]; (literary) to wipe away (a humiliation etc),1,名,1707566,1285,1,968.0,28.86,2.9859,507.0,8.12,2.705,1941.0,True
菜,菜,cài,ㄘㄞˋ,"vegetable; greens (CL:棵[ke1]); dish (of food) (CL:樣|样[yang4],道[dao4],盤|盘[pan2]); (of one's skills etc) weak; poor; (coll.) (one's) type",1,名,1686135,1295,1,1963.0,58.52,3.2929,1114.0,17.84,3.0469,1304.0,True
飞机,飛機,fēijī,ㄈㄟ ㄐㄧ,airplane; CL:架[jia4],1,名,1674767,1305,1,5020.0,149.64,3.7007,1616.0,25.88,3.2084,635.0,True
漂亮,漂亮,piàoliang,ㄆㄧㄠˋ ㄌㄧㄤ˙,pretty; beautiful,1,形,1660274,1321,1,11032.0,328.86,4.0427,3836.0,61.44,3.5839,322.0,True
早上,早上,zǎoshang,ㄗㄠˇ ㄕㄤ˙,early morning; CL:個|个[ge4],1,名,1636879,1340,1,4953.0,147.65,3.6949,2785.0,44.61,3.4448,644.0,True
饭,飯,fàn,ㄈㄢˋ,cooked rice; CL:碗[wan3]; meal; CL:頓|顿[dun4]; (loanword) fan; devotee,1,名,1618796,1353,1,1813.0,54.04,3.2584,1198.0,19.19,3.0785,1376.0,True
明年,明年,míngnián,ㄇㄧㄥˊ ㄋㄧㄢˊ,next year,1,名,1578089,1387,1,634.0,18.9,2.8021,421.0,6.74,2.6243,2244.0,True
高兴,高興,gāoxìng,ㄍㄠ ㄒㄧㄥˋ,happy; glad; willing (to do sth); in a cheerful mood,1,形,1554692,1400,1,16480.0,491.26,4.217,4897.0,78.44,3.6899,236.0,True
爸爸,爸爸,bàba,ㄅㄚˋ ㄅㄚ˙,"(coll.) father; dad; CL:個|个[ge4],位[wei4]",1,名,1539349,1416,1,21930.0,653.72,4.341,3747.0,60.02,3.5737,190.0,True
休息,休息,xiūxi,ㄒㄧㄡ ㄒㄧ˙,rest; to rest,1,动,1474359,1462,1,4075.0,121.47,3.6101,2273.0,36.41,3.3566,750.0,True
上班,上班,shàngbān,ㄕㄤˋ ㄅㄢ,to go to work; to be on duty; to start work; to go to the office,1,动,1465310,1471,1,2221.0,66.21,3.3465,1372.0,21.98,3.1374,1201.0,True
课,課,kè,ㄎㄜˋ,"subject; course; CL:門|门[men2]; class; lesson; CL:堂[tang2],節|节[jie2]; to levy; tax; form of divination",1,名,1435527,1507,1,2226.0,66.36,3.3475,1234.0,19.77,3.0913,1198.0,True
好看,好看,hǎokàn,ㄏㄠˇ ㄎㄢˋ,"good-looking; nice-looking; (of a movie, book, TV show etc) good; in an embarrassing situation",1,形,1414439,1521,1,1279.0,38.13,3.1069,955.0,15.3,2.98,1695.0,True
茶,茶,chá,ㄔㄚˊ,"tea; tea plant; CL:杯[bei1],壺|壶[hu2]",1,名,1384389,1545,1,1245.0,37.11,3.0952,728.0,11.66,2.8621,1717.0,True
中午,中午,zhōngwǔ,ㄓㄨㄥ ㄨˇ,noon; midday; CL:個|个[ge4],1,名,1346954,1576,1,637.0,18.99,2.8041,514.0,8.23,2.711,2241.0,True
雨,雨,yǔ,ㄩˇ,"rain; CL:陣|阵[zhen4],場|场[chang2]; (literary) to rain; (of rain, snow etc) to fall; to precipitate; to wet",1,名,1306669,1625,1,1312.0,39.11,3.1179,734.0,11.76,2.8657,1677.0,True
姐姐,姐姐,jiějie,ㄐㄧㄝˇ ㄐㄧㄝ˙,older sister; CL:個|个[ge4],1,名,1279753,1642,1,2655.0,79.14,3.4241,1114.0,17.84,3.0469,1055.0,True
贵,貴,guì,ㄍㄨㄟˋ,abbr. for Guizhou Province 貴州|贵州[Gui4 zhou1]; expensive; (bound form) highly valued; precious; (bound form) noble; of high rank; (prefix) (honorific) your,1,形,1228605,1702,1,959.0,28.59,2.9818,707.0,11.32,2.8494,1946.0,True
一半,一半,yíbàn,ㄧ ㄅㄢˋ,half,1,数,1227406,1704,1,2633.0,78.49,3.4205,1673.0,26.8,3.2235,1059.0,True
家人,家人,jiārén,ㄐㄧㄚ ㄖㄣˊ,family member; (old) servant,1,名,1165923,1777,1,2880.0,85.85,3.4594,1694.0,27.13,3.2289,998.0,True
打电话,打電話,dǎ diànhuà,ㄉㄚˇ ㄉㄧㄢˋ ㄏㄨㄚˋ,to make a telephone call,1,unknown,1138572,1811,1,11289.0,336.52,4.0527,3821.0,61.2,3.5822,313.0,True
苹果,蘋果,píngguǒ,ㄆㄧㄥˊ ㄍㄨㄛˇ,"Apple (American tech company); apple; CL:個|个[ge4],顆|颗[ke1]",1,名,1102063,1864,1,766.0,22.83,2.8842,446.0,7.14,2.6493,2116.0,True
大学生,大學生,dàxuéshēng,ㄉㄚˋ ㄒㄩㄝˊ ㄕㄥ,university student; college student,1,名,1078582,1899,1,244.0,7.27,2.3874,176.0,2.82,2.2455,2632.0,True
房间,房間,fángjiān,ㄈㄤˊ ㄐㄧㄢ,"room; CL:間|间[jian1],個|个[ge4]",1,名,1060503,1919,1,7208.0,214.87,3.8578,2973.0,47.62,3.4732,458.0,True
喂,餵,wèi,ㄨㄟˋ,"hello (when answering the phone); hey; to feed (an animal, baby, invalid etc); variant of 餵|喂[wei4]; to feed",1,叹,1042918,1947,1,11286.0,336.43,4.0525,3067.0,49.13,3.4867,314.0,True
小学,小學,xiǎoxué,ㄒㄧㄠˇ ㄒㄩㄝˊ,elementary school; primary school,1,名,1000714,2009,1,339.0,10.11,2.5302,248.0,3.97,2.3945,2537.0,True
哪个,哪個,nǎge,ㄋㄚˇ ㄍㄜ˙,which; who,1,代,986728,2031,1,3120.0,93.01,3.4942,2127.0,34.07,3.3278,933.0,True
起床,起床,qǐchuáng,ㄑㄧˇ ㄔㄨㄤˊ,to get out of bed; to get up,1,动,971659,2058,1,798.0,23.79,2.902,598.0,9.58,2.7767,2088.0,True
哥哥,哥哥,gēge,ㄍㄜ ㄍㄜ˙,"older brother; CL:個|个[ge4],位[wei4]",1,名,957711,2084,1,3700.0,110.29,3.5682,1380.0,22.1,3.1399,818.0,True
衣服,衣服,yīfu,ㄧ ㄈㄨ˙,"clothes; CL:件[jian4],套[tao4]",1,名,932764,2131,1,8130.0,242.35,3.9101,3326.0,53.28,3.5219,417.0,True
怎么样,怎麼樣,zěnmeyàng,ㄗㄣˇ ㄇㄜ˙ ㄧㄤˋ,how?; how about?; how was it?; how are things?,1,代,927693,2139,1,20986.0,625.58,4.3219,5278.0,84.54,3.7225,197.0,True
